date, value 
2021-11-08, 1
2021-11-13, 1
2021-11-15, 1
2021-11-16, 2
2021-11-17, 1
2021-11-22, 4
2021-11-23, 1
2021-11-28, 1
2021-11-29, 1
2021-11-30, 1
2021-12-16, 3
2021-12-20, 2
2021-12-21, 4
2022-01-02, 1
2022-01-03, 2
2022-01-04, 1
2022-01-11, 1
2022-01-15, 1
2022-01-16, 1
2022-01-21, 1
2022-01-23, 1
2022-01-27, 3
2022-01-28, 1
2022-01-29, 1
2022-01-30, 1
2022-02-01, 1
2022-02-03, 1
2022-02-06, 1
2022-02-10, 2
2022-02-11, 1
2022-02-13, 1
2022-02-16, 1
2022-02-17, 2
2022-02-18, 1
2022-02-21, 2
2022-02-22, 2
2022-02-25, 1
2022-02-26, 1
2022-03-01, 1
2022-03-02, 1
2022-03-06, 1
2022-03-10, 1
2022-03-11, 1
2022-03-12, 1
2022-03-23, 1
2022-03-28, 1
2022-03-31, 1
2022-04-01, 1
2022-04-03, 1
2022-04-08, 1
2022-04-09, 1
2022-04-10, 1
2022-04-11, 1
2022-04-12, 1
2022-04-14, 2
2022-04-17, 1
2022-04-18, 1
2022-04-20, 2
2022-04-21, 1
2022-04-22, 2
2022-04-23, 3
2022-04-24, 1
2022-04-25, 1
2022-04-26, 4
2022-04-27, 2
2022-05-04, 1
2022-05-05, 1
2022-05-06, 1
2022-05-09, 1
2022-05-11, 1
2022-05-15, 1
2022-05-17, 2
2022-05-18, 1
2022-05-20, 1
2022-05-23, 1
2022-05-26, 1
2022-05-27, 1
2022-05-28, 1
2022-06-03, 1
2022-06-04, 1
2022-06-05, 1
2022-06-06, 1
2022-06-07, 2
2022-06-08, 3
2022-06-14, 1
2022-06-17, 2
2022-06-20, 5
2022-06-21, 3
2022-06-22, 1
2022-06-28, 1
2022-06-29, 1
2022-07-08, 1
2022-07-12, 1
2022-07-14, 1
2022-07-15, 2
2022-07-20, 1
2022-07-24, 1
2022-08-01, 1
2022-08-02, 1
2022-08-04, 1
2022-08-09, 1
2022-08-12, 2
2022-08-21, 1
2022-08-25, 1
2022-08-26, 1
2022-08-29, 1
2022-09-03, 1
2022-09-07, 1
2022-09-09, 2
2022-09-10, 1
2022-09-11, 1
2022-09-12, 1
2022-09-13, 2
2022-09-14, 2
2022-09-18, 1
2022-09-19, 2
2022-09-20, 2
2022-09-25, 1
2022-09-28, 1
2022-09-29, 1
2022-10-01, 1
2022-10-04, 1
2022-10-05, 1
2022-10-06, 2
2022-10-07, 1
2022-10-09, 1
2022-10-10, 1
2022-10-11, 1
2022-10-12, 1
2022-10-13, 1
2022-10-14, 1
2022-10-15, 1
2022-10-17, 1
2022-10-18, 1
2022-10-19, 1
2022-10-21, 1
2022-10-23, 1
2022-10-24, 1
2022-10-25, 1
2022-10-26, 1
2022-10-28, 1
2022-10-30, 1
2022-11-01, 1
2022-11-02, 1
2022-11-03, 1
2022-11-07, 1
2022-11-09, 1
2022-11-10, 3
2022-11-11, 2
2022-11-13, 1
2022-11-14, 2
2022-11-16, 1
2022-11-17, 1
2022-11-21, 2
2022-11-22, 5
2022-11-23, 2
2022-11-24, 1
2022-11-25, 2
2022-11-27, 1
2022-12-01, 1
2022-12-06, 1
2022-12-15, 1
2022-12-17, 1
2022-12-18, 1
2023-01-03, 1
2023-01-17, 1
2023-01-28, 1
2023-01-30, 1
2023-02-11, 2
2023-02-15, 1
2023-02-16, 2
2023-02-17, 1
2023-02-19, 1
2023-02-20, 1
2023-02-21, 1
2023-02-22, 1
2023-02-28, 1
2023-03-02, 1
2023-03-12, 1
2023-03-14, 2
2023-03-29, 1
2023-04-04, 2
2023-04-06, 1
2023-04-08, 1
2023-04-11, 1
2023-04-14, 1
2023-04-18, 1
2023-04-20, 1
2023-04-21, 1
2023-04-22, 2
2023-04-25, 1
2023-04-30, 1
2023-05-30, 1
2023-06-19, 2
2023-06-20, 2
2023-06-21, 1
2023-06-25, 1
2023-06-26, 1
2023-06-29, 1
2023-07-03, 2
2023-07-04, 2
2023-07-07, 1
2023-07-10, 1
2023-07-25, 1
2023-07-26, 1
2023-08-10, 1
2023-08-15, 1
2023-08-22, 1
2023-08-24, 1
2023-08-26, 1
2023-08-28, 1
2023-09-01, 1
2023-09-03, 1
2023-09-10, 1
2023-09-12, 1
2023-09-15, 1
2023-09-16, 1
2023-09-23, 1
2023-09-26, 1
2023-10-04, 1
2023-10-06, 1
2023-10-13, 1
2023-10-17, 1
2023-10-26, 3
2023-10-27, 1
2023-10-28, 1
2023-10-29, 1
2023-11-02, 1
2023-11-03, 2
2023-11-06, 3
2023-11-13, 2
2023-11-15, 2
2023-11-16, 4
2023-11-17, 1
2023-11-19, 1
2023-11-20, 2
2023-11-21, 2
2023-11-28, 1
2023-11-30, 1
2023-12-06, 1
2023-12-10, 1
2023-12-14, 2
2023-12-15, 1
2023-12-16, 1
2023-12-19, 2
2024-01-15, 1
2024-01-17, 1
2024-01-18, 2
2024-01-20, 1
2024-01-22, 1
2024-01-23, 2
2024-01-24, 1
2024-01-26, 1
2024-01-27, 1
2024-01-28, 3
2024-01-29, 4
2024-01-30, 6
2024-01-31, 1
2024-02-01, 1
2024-02-03, 1
2024-02-08, 2
2024-02-09, 1
2024-02-24, 1
2024-02-25, 1
2024-02-27, 2
2024-03-09, 1
2024-03-12, 1
2024-03-16, 1
2024-03-20, 1
2024-03-21, 1
2024-03-22, 1
2024-03-23, 1
2024-03-25, 1
2024-03-27, 1
2024-03-28, 1
2024-04-03, 1
2024-04-05, 1
2024-04-07, 1
2024-04-12, 1
2024-04-16, 1
2024-04-17, 1
2024-04-22, 2
2024-04-27, 1
2024-04-29, 1
2024-05-14, 1
2024-05-19, 2
2024-05-20, 1
2024-05-22, 2
2024-05-23, 2
2024-05-26, 1
2024-05-28, 1
2024-06-10, 1
2024-06-29, 1
2024-07-15, 1
2024-07-17, 2
2024-07-30, 1
2024-08-01, 1
2024-08-07, 1
2024-08-14, 1
2024-08-30, 1
2024-09-08, 2
2024-09-09, 3
2024-09-11, 2
2024-09-14, 1
2024-09-16, 2
2024-09-18, 1
2024-09-19, 1
2024-09-22, 1
2024-09-23, 1
2024-09-24, 1
2024-09-25, 2
2024-09-28, 2
2024-09-29, 1
2024-10-05, 1
2024-10-08, 1
2024-10-09, 1
2024-10-11, 1
2024-10-13, 1
2024-10-21, 2
2024-10-23, 4
2024-10-26, 1
2024-10-28, 3
2024-10-29, 4
2024-10-30, 1
2024-11-04, 1